location,lat,long,alt,year,bloom_date,bloom_doy
vancouver,49.2237,123.1636,24,1999,4/6/99,96
vancouver,49.2237,123.1636,24,2000,4/13/00,104
vancouver,49.2237,123.1636,24,2001,4/11/01,102
vancouver,49.2237,123.1636,24,2002,4/10/02,101
vancouver,49.2237,123.1636,24,2003,4/13/03,104
vancouver,49.2237,123.1636,24,2004,3/27/04,88
vancouver,49.2237,123.1636,24,2005,3/13/05,73
vancouver,49.2237,123.1636,24,2006,4/4/06,94
vancouver,49.2237,123.1636,24,2007,4/4/07,94
vancouver,49.2237,123.1636,24,2008,4/3/08,95
vancouver,49.2237,123.1636,24,2009,4/15/09,105
vancouver,49.2237,123.1636,24,2010,3/14/10,73
vancouver,49.2237,123.1636,24,2011,4/11/11,101
vancouver,49.2237,123.1636,24,2012,4/10/12,101
vancouver,49.2237,123.1636,24,2013,4/2/13,92
vancouver,49.2237,123.1636,24,2014,4/6/14,97
vancouver,49.2237,123.1636,24,2015,3/6/15,66
vancouver,49.2237,123.1636,24,2016,3/15/16,75
vancouver,49.2237,123.1636,24,2017,4/7/17,98
vancouver,49.2237,123.1636,24,2018,4/6/18,97
vancouver,49.2237,123.1636,24,2019,4/4/19,94
vancouver,49.2237,123.1636,24,2020,4/7/20,98
vancouver,49.2237,123.1636,24,2021,4/1/21,92
vancouver,49.2237,123.1636,24,2022,3/27/22,86
